imp_date,qimei,play_vv_begin,video_play_time,top_vv,top_time
20210606,c802f082ba5ffa77,43007,976292.536,1,1
20210606,5163cab6c0c2e6c1,36095,841935.787,1,1
20210606,e5e1bffe790934c3,33424,772544.142,1,1
20210606,dc1dcd4d047a4198,31944,766006.91,1,1
20210606,d7a7eda3ca20139d,36704,738522.1,1,1
20210606,af486e2e8cd57f30,28465,705394.402,1,1
20210606,c35b9dace54aa70af7f21c4f100013f14a16,29165,661998.885,1,1
20210606,bfede46000708a3a,28155,654375.947,1,1
20210606,f38562b0e1531bb7,26466,653080.677,1,1
20210606,56cdb8ddf57ded1e,27528,652328.127,1,1
20210606,8.69173E+14,26123,648067.967,1,1
20210606,0761fa3412266422,28234,635152.697,1,1
20210606,fd7efe3f78466ece9168e044100018014801,27155,629737.346,1,1
20210606,77cff9a7d49a82f48f137dae100015c1471f,26809,629333.182,1,1
20210606,836a9250b3368972,27395,614684.833,1,1
20210606,8eb7154b39a0e0269827fe7e100014214c16,25783,612022.811,1,1
20210606,3b2a7d40db718913,25517,605498.483,1,1
20210606,5a568f5ac48aa593,22833,602349.903,1,1
20210606,03bf5b83d077c700,27433,595829.924,1,1
20210606,8.65746E+14,25044,591577.281,1,1
20210606,4d8baf689795954b8811851d100012914a17,24147,589627.231,1,1
20210606,bb3c47324307e325,26914,576942.956,1,1
20210606,9024277503959aba9dcd362810001c61471e,26089,575900.053,1,1
20210606,518b4dd17d0ebe52,24452,575711.011,1,1
20210606,bedd55bffe65e18aa400fe9010001d914a17,22951,575416.312,1,1
20210606,12691c27b9f8f500,22793,567768.641,1,1
20210606,5a3e5fcad39769271b40ad1e100018014a18,24383,566916.328,1,1
20210606,8.62784E+14,27906,566196.667,1,1
20210606,29f81a7dcd3e175f,45620,563987.548,1,1
20210606,b09ac445de0b795c79581d7a100016914a03,24258,563878.59,1,1
20210606,967a1690ee869bab,25019,558233.623,1,1
20210606,7f3f081d07ab9f90896bd4a5100017114c16,25464,557293.841,1,1
20210606,75ef7203d76f2feaf25df46a100016314a01,28160,552065.845,1,1
20210606,3e7eeda7d02746e7,26477,551643.962,1,1
20210606,5c5450c8cb976b647494021b100010414c16,26503,550898.467,1,1
20210606,bdd3d8120251514925d5eb32100019b14a15,24761,548979.638,1,1
20210606,ebd301cdd95d4ea4,22681,541174.263,1,1
20210606,3e6e7399bc3b6d301d17168510001b814a17,21396,540133.27,1,1
20210606,2f48ce2cd4cfc25d,27493,539683.202,1,1
20210606,a88e72ffaff1e58c,22383,537036.038,1,1
20210606,de134cc4f363abd761a78332100011014c16,22273,534930.946,1,1
20210606,c5cf38129f67f878,24876,533713.358,1,1
20210606,b5bf4d0040840940,26495,530939.021,1,1
20210606,d48bdc7a56d3e0ee,23583,527377.941,1,1
20210606,943f476ce2af1f9c,19389,523532.434,1,1
20210606,cfad9c85d8e7874d603f0af7100014714a01,23829,522501.336,1,1
20210606,6d1fda1f7fa3b6a5,22518,522088.919,1,1
20210606,c2f4d16b487112f7,24918,518659.471,1,1
20210606,66b796ed7293ad1f,26354,518258.706,1,1
20210606,389c5a2805034ed9,20431,517864.096,1,1
20210606,69fbf8db9ea64a5cde3953f7100016d14a18,19472,513385.106,1,1
20210606,5cff3b52861fae25,26533,511369.841,1,1
